maxtempC,mintempC,totalSnow_cm,sunHour,AQI_Explained
31,23,0,13.3,Very unhealthy
32,25,0,12.1,Very unhealthy
31,26,0,10.9,Very unhealthy
33,26,0,13.5,Hazardous
35,25,0,13.5,Hazardous
35,27,0,13.5,Very unhealthy
36,27,0,13.4,Hazardous
36,27,0,13.4,Very unhealthy
34,26,0,13.4,Very unhealthy
35,26,0,13.4,Very unhealthy
36,26,0,13.4,Hazardous
36,27,0,13.4,Hazardous
36,27,0,13.4,Very unhealthy
37,26,0,13.4,Very unhealthy
36,26,0,13.3,Very unhealthy
32,25,0,13.3,Unhealthy for sensitive groups
32,26,0,13.3,Unhealthy for sensitive groups
31,26,0,10.8,Unhealthy for sensitive groups
29,26,0,12,Unhealthy for sensitive groups
27,25,0,10.8,Unhealthy for sensitive groups
28,24,0,9.5,Unhealthy
30,22,0,10.8,Unhealthy
30,22,0,13.2,Hazardous
31,23,0,13.2,Very unhealthy
30,23,0,12,Unhealthy
29,24,0,10.7,Unhealthy
31,23,0,13.1,Very unhealthy
30,22,0,13.1,Very unhealthy
31,23,0,13.1,Unhealthy
31,25,0,10.7,Very unhealthy
28,23,0,8.2,Unhealthy
26,23,0,8.2,Unhealthy for sensitive groups
26,23,0,8.2,Unhealthy for sensitive groups
27,21,0,8.1,Unhealthy
30,20,0,13,Very unhealthy
29,20,0,13,Very unhealthy
30,22,0,13,Hazardous
29,21,0,13,Hazardous
30,22,0,12.9,Hazardous
29,21,0,12.9,Hazardous
29,21,0,12.9,Very unhealthy
29,23,0,11.9,Very unhealthy
29,23,0,12.9,Hazardous
30,20,0,12.8,Hazardous
29,22,0,12.8,Hazardous
28,23,0,11.9,Very unhealthy
28,23,0,12.8,Very unhealthy
28,20,0,12.8,Unhealthy for sensitive groups
28,21,0,12.8,Unhealthy for sensitive groups
28,19,0,12.7,Unhealthy for sensitive groups
28,18,0,12.7,Unhealthy for sensitive groups
29,17,0,12.7,Unhealthy
22,17,0,11.9,Very unhealthy
26,16,0,12.7,Unhealthy
26,18,0,11.9,Unhealthy for sensitive groups
23,19,0,7.9,Unhealthy for sensitive groups
26,19,0,12.6,Unhealthy for sensitive groups
27,22,0,8.8,Unhealthy
27,21,0,8.8,Unhealthy
27,21,0,8.8,Unhealthy for sensitive groups
27,21,0,8.8,Very unhealthy
27,19,0,11.6,Very unhealthy
27,21,0,7.4,Unhealthy
27,20,0,7.4,Unhealthy
27,20,0,6,Unhealthy for sensitive groups
24,20,0,11.6,Unhealthy
27,19,0,11.6,Unhealthy
27,19,0,10.2,Unhealthy
26,19,0,6,Unhealthy
24,23,0,6,Unhealthy for sensitive groups
29,25,0,6,Unhealthy
23,16,0,7.4,Unhealthy
24,14,0,11.6,Unhealthy
27,16,0,11.6,Very unhealthy
25,19,0,8.8,Unhealthy
21,19,0,5.9,Unhealthy for sensitive groups
23,19,0,5.9,Unhealthy for sensitive groups
24,19,0,5.9,Unhealthy for sensitive groups
21,18,0,7.3,Unhealthy
24,16,0,10.2,Hazardous
24,14,0,5.9,Very unhealthy
22,12,0,11.6,Very unhealthy
23,12,0,11.6,Hazardous
24,12,0,11.6,Hazardous
24,13,0,11.6,Hazardous
25,15,0,11.6,Unhealthy
25,15,0,11.6,Very unhealthy
25,15,0,11.6,Unhealthy
24,15,0,11.6,Very unhealthy
